[2015-07-27 20:31:44.805]  -------(1)--------
[2015-07-27 20:31:45.804]  -------(2)--------
[2015-07-27 20:31:46.804]  -------(3)--------
[2015-07-27 20:31:47.804]  -------(4)--------
[2015-07-27 20:31:48.804]  -------(5)--------
[2015-07-27 20:31:49.804]  -------(6)--------
[2015-07-27 20:31:50.804]  -------(7)--------
[2015-07-27 20:31:51.804]  -------(8)--------
[2015-07-27 20:31:52.804]  -------(9)--------
[2015-07-27 20:31:53.805]  -------(10)--------
[2015-07-27 20:31:54.806]  -------(11)--------
790A8267 04 CB 05
790A8267 04 CE 05
790A8267 04 D1 05
790A85CE 04 C9 05
790A85CE 04 C5 05
790A85CE 04 C4 05
790A85A0 04 CB 08
790A85A0 04 C8 08
790A85A0 04 CA 08
790A8256 04 C3 04
790A8256 04 CB 04
790A856F 04 CD 09
790A856F 04 BF 09
790A856F 04 D1 09
790A85B7 04 D4 05
790A85B7 04 BF 05
790A85B7 04 CB 05
790A85FC 04 CD 08
790A85FC 04 C3 08
790A85FC 04 C7 08
790A855D 04 CD 02
790A855D 04 C4 02
790A855D 04 C8 02
790A8586 04 BA 0A
790A8586 04 CF 0A
790A8586 04 CE 0A
790A8273 04 C8 08
790A8273 04 CB 08
790A8273 04 C1 08
790A85A3 04 C2 05
790A85A3 04 CF 05
790A85A3 04 C5 05
790A826F 04 CC 09
790A826F 04 C6 09
790A826F 04 CB 09
790A826A 04 C5 04
790A826A 04 CC 04
790A826A 04 C3 04
790A826D 04 CC 07
790A826D 04 C9 07
790A826D 04 BD 07
790A8266 04 BF 07
790A8266 04 CD 07
790A8266 04 C4 07
790A85DF 04 D1 07
790A85DF 04 BE 07
790A85DF 04 BC 07
790A85D6 04 C7 06
790A85D6 04 CC 06
790A8248 04 C1 00
790A8248 04 CD 00
790A8248 04 C3 00
790A85D1 04 BD 06
790A85D1 04 CA 06
790A85D1 04 C2 06
790A826B 04 C8 0B
790A826B 04 C4 0B
790A826B 04 C9 0B
790A8267 04 D3 06
790A8267 04 C5 06
790A8267 04 C2 06
790A85CE 04 BF 06
790A85CE 04 C9 06
790A85CE 04 B8 06
790A85A0 04 CE 09
790A85A0 04 C8 09
790A85A0 04 CF 09
790A8256 04 C8 05
790A8256 04 CC 05
790A8256 04 CD 05
790A856F 04 D0 0A
790A856F 04 C9 0A
790A856F 04 BE 0A
790A85B7 04 CC 06
790A85B7 04 CB 06
790A85B7 04 CB 06
790A85FC 04 C6 09
790A85FC 04 CB 09
790A85FC 04 C9 09
790A855D 04 C7 03
790A855D 04 C9 03
790A855D 04 C0 03
790A8586 04 CB 0B
790A8586 04 CD 0B
790A8586 04 BF 0B
790A8273 04 C6 09
790A8273 04 CA 09
790A8273 04 CE 09
790A85A3 04 D3 06
790A85A3 04 BF 06
790A85A3 04 C9 06
790A826F 04 CB 0A
790A826F 04 C6 0A
790A826F 04 C6 0A
790A826A 04 C6 05
790A826A 04 CC 05
790A826A 04 C0 05
[2015-07-27 20:31:55.804]  -------(12)--------
790A826D 04 CB 08
790A826D 04 C9 08
790A826D 04 BF 08
790A8266 04 C9 08
790A8266 04 BB 08
790A8266 04 CB 08
790A85DF 04 CD 08
790A85DF 04 C8 08
790A85DF 04 CB 08
790A85D6 04 CC 07
790A8248 04 C4 01
790A8248 04 CA 01
790A8248 04 CD 01
790A85D1 04 CF 07
790A85D1 04 C2 07
790A85D1 04 C7 07
790A826B 04 CA 00
790A826B 04 CE 00
790A8267 04 CA 07
790A8267 04 D3 07
790A8267 04 CA 07
790A85CE 04 BA 07
790A85CE 04 CB 07
790A85A0 04 D1 0A
790A85A0 04 D1 0A
790A85A0 04 C6 0A
790A8256 04 C5 06
790A8256 04 C7 06
790A8256 04 C0 06
790A856F 04 C2 0B
790A856F 04 C4 0B
790A856F 04 CD 0B
790A85B7 04 B4 07
790A85B7 04 D1 07
790A85B7 04 CD 07
790A85FC 04 C6 0A
790A85FC 04 CB 0A
790A85FC 04 C8 0A
790A855D 04 C3 04
790A855D 04 CE 04
790A855D 04 CC 04
790A8586 04 CB 00
790A8586 04 C6 00
790A8586 04 C6 00
790A8273 04 C2 0A
790A8273 04 CF 0A
790A8273 04 CD 0A
790A85A3 04 CB 07
790A85A3 04 CB 07
790A85A3 04 CD 07
790A826F 04 AF 0B
790A826F 04 C7 0B
790A826F 04 C3 0B
790A826A 04 CB 06
790A826A 04 C1 06
790A826A 04 C7 06
790A826D 04 C2 09
790A826D 04 CB 09
790A826D 04 C2 09
790A8266 04 C5 09
790A8266 04 BF 09
790A8266 04 C5 09
790A85DF 04 C9 09
790A85DF 04 CC 09
790A85DF 04 C8 09
790A85D6 04 CD 08
790A85D6 04 D0 08
790A85D6 04 BC 08
790A8248 04 CF 02
790A8248 04 C9 02
790A8248 04 CE 02
790A85D1 04 CF 08
790A85D1 04 C8 08
790A85D1 04 BF 08
790A826B 04 D0 01
790A826B 04 CB 01
790A826B 04 BD 01
790A8267 04 CD 08
790A8267 04 CE 08
790A8267 04 D1 08
790A85CE 04 BE 08
790A85CE 04 C7 08
790A85CE 04 C7 08
790A85A0 04 CE 0B
790A85A0 04 CA 0B
790A85A0 04 C9 0B
790A8256 04 C5 07
790A8256 04 C7 07
790A8256 04 C2 07
790A856F 04 CC 00
790A856F 04 C5 00
790A856F 04 D1 00
790A85B7 04 D3 08
790A85B7 04 CB 08
790A85B7 04 C2 08
790A85FC 04 CD 0B
790A85FC 04 C4 0B
790A85FC 04 C3 0B
790A855D 04 CB 05
790A855D 04 C7 05
790A855D 04 C9 05
790A8586 04 B4 01
790A8586 04 CE 01
790A8586 04 CE 01
